These cols are required for the NL stats import. ,,,,,,,,,,
"=> the RNC_BSC and NCELL_RNC_BSC are optional, if they are included, their text is concatenated to the start of the cell ids",,,,,,,,,,
"=> the CELL, NCELL, LAYER, NCELL_LAYER are all required.",,,,,,,,,,
"=> the stats can be raw (in which case they will be converted to % of total atts per cell), or pre-processed (assumed to be already in the % atts of total cell atts).  Note: the atts can be mr reports or counter attempts or whatever.",,,,,,,,,,
"=> is nbr, action, nl_size_new, dist are optional, click use if you have the data => these are good to have as they will be shown in the review dialog",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RNC_BSC,CELL,LAYER,NCELL_RNC_BSC,NCELL,NCELL_LAYER,STATS,IS_NBR,ACTION,NL_SIZE_NEW,DIST_KM
,140145_3,LTE_F1,,140664_3,LTE_F1,8775,Y,,,3.271
,140145_1,LTE_F1,,140698_3,LTE_F1,1714,Y,,,0.872
,140145_2,LTE_F1,,144469_3,LTE_F1,4184,Y,,,1.914
,140145_2,LTE_F1,,140803_2,LTE_F1,427,Y,,,9.216
,140145_2,LTE_F1,,140748_1,LTE_F1,3279,Y,,,3.338
,140145_2,LTE_F1,,144607_2,LTE_F1,6254,Y,,,2.896
,140145_1,LTE_F1,,140673_3,LTE_F1,4169,Y,,,3.428
,140145_1,LTE_F1,,149333_1,LTE_F1,5670,Y,,,8.585
,140145_2,LTE_F1,,140694_2,LTE_F1,2045,Y,,,0.905
,140145_2,LTE_F1,,146175_3,LTE_F1,7776,Y,,,9.467
,140145_2,LTE_F1,,145232_2,LTE_F1,3522,Y,,,5.445
,140145_3,LTE_F1,,149337_3,LTE_F1,8251,Y,,,9.404
,140145_2,LTE_F1,,140748_2,LTE_F1,5479,Y,,,3.15
,140145_3,LTE_F1,,146167_3,LTE_F1,3878,Y,,,4.461
,140145_2,LTE_F1,,140678_1,LTE_F1,9578,Y,,,5.724
,140145_3,LTE_F1,,140665_3,LTE_F1,5493,Y,,,6.38
,140145_3,LTE_F1,,143091_3,LTE_F1,1699,Y,,,6.761
,140145_3,LTE_F1,,140798_3,LTE_F1,5409,Y,,,4.625
,140145_2,LTE_F1,,140662_1,LTE_F1,7697,Y,,,7.243
,140145_3,LTE_F1,,140678_3,LTE_F1,8110,Y,,,1.943
,140145_3,LTE_F1,,144710_1,LTE_F1,9046,Y,,,6.775
,140145_2,LTE_F1,,140796_3,LTE_F1,5506,Y,,,8.243
,140145_3,LTE_F1,,140798_1,LTE_F1,6207,Y,,,9.638
,140145_3,LTE_F1,,140678_1,LTE_F1,3365,Y,,,3.885
,140145_1,LTE_F1,,140798_1,LTE_F1,1294,Y,,,3.894
,140145_3,LTE_F1,,140803_3,LTE_F1,785,Y,,,8.935
,140145_2,LTE_F1,,140718_2,LTE_F1,6278,Y,,,7.378
,140145_3,LTE_F1,,144710_3,LTE_F1,3078,Y,,,9.559
,140145_1,LTE_F1,,144710_1,LTE_F1,1407,Y,,,1.535
,140145_2,LTE_F1,,140700_2,LTE_F1,2591,Y,,,4.54
,140145_3,LTE_F1,,144710_2,LTE_F1,8023,Y,,,7.552
,140145_3,LTE_F1,,140754_3,LTE_F1,3940,Y,,,5.695
,140145_2,LTE_F1,,140686_3,LTE_F1,2279,Y,,,9.41
,140145_3,LTE_F1,,146154_3,LTE_F1,7802,Y,,,3.588
,140145_2,LTE_F1,,140798_2,LTE_F1,639,Y,,,7.342
,140145_1,LTE_F1,,146148_2,LTE_F1,4608,Y,,,4.284
,140145_2,LTE_F1,,149334_2,LTE_F1,6128,Y,,,3.458
,140145_2,LTE_F1,,143091_2,LTE_F1,8280,Y,,,0.402
,140145_2,LTE_F1,,144710_1,LTE_F1,9022,Y,,,8.424
,140145_3,LTE_F1,,140798_2,LTE_F1,1309,Y,,,4.821
,140145_3,LTE_F1,,140662_3,LTE_F1,1410,Y,,,4.231
,140145_3,LTE_F1,,143842_3,LTE_F1,1914,Y,,,7.855
,140154_1,LTE_F1,,147608_1,LTE_F1,7993,Y,,,1.795
,140154_1,LTE_F1,,140154_3,LTE_F1,4939,Y,,,3.738
,140154_3,LTE_F1,,140154_1,LTE_F1,7965,Y,,,9.139
,140154_2,LTE_F1,,140754_1,LTE_F1,7111,Y,,,9.468
,140154_2,LTE_F1,,147608_1,LTE_F1,7222,Y,,,0.27
,140154_3,LTE_F1,,147608_1,LTE_F1,5377,Y,,,7.547
,140154_3,LTE_F1,,147608_3,LTE_F1,6622,Y,,,8.764
,140154_3,LTE_F1,,147608_2,LTE_F1,5701,Y,,,7.652
,140154_3,LTE_F1,,140754_3,LTE_F1,7621,Y,,,5.63
,140154_2,LTE_F1,,140754_2,LTE_F1,2116,Y,,,3.826
,140154_3,LTE_F1,,145232_2,LTE_F1,5452,Y,,,8.625
,140154_3,LTE_F1,,140796_3,LTE_F1,3138,Y,,,3.632
,140154_1,LTE_F1,,140796_3,LTE_F1,6507,Y,,,5.124
,140154_3,LTE_F1,,140719_3,LTE_F1,6443,Y,,,4.878
,140154_1,LTE_F1,,145232_2,LTE_F1,7205,Y,,,2.663
,140154_2,LTE_F1,,140648_3,LTE_F1,2045,Y,,,7.055
,140154_3,LTE_F1,,140154_2,LTE_F1,6258,Y,,,3.062
,140154_2,LTE_F1,,140154_3,LTE_F1,1728,Y,,,1.721
,140154_2,LTE_F1,,140719_3,LTE_F1,2615,Y,,,2.429
,140154_2,LTE_F1,,140719_2,LTE_F1,3143,Y,,,9.051
,140154_3,LTE_F1,,140719_2,LTE_F1,1673,Y,,,9.261
,140154_2,LTE_F1,,146175_2,LTE_F1,8649,Y,,,6.61
,140154_3,LTE_F1,,140748_2,LTE_F1,6822,Y,,,0.276
,140154_3,LTE_F1,,140754_1,LTE_F1,195,Y,,,1.032
,140154_2,LTE_F1,,144555_2,LTE_F1,26,Y,,,1.582
,140154_2,LTE_F1,,147608_2,LTE_F1,1267,Y,,,5.993
,140154_3,LTE_F1,,140754_2,LTE_F1,359,Y,,,1.129
,140154_3,LTE_F1,,144555_2,LTE_F1,2582,Y,,,8.201
,140154_2,LTE_F1,,140717_1,LTE_F1,2004,Y,,,7.523
,140154_2,LTE_F1,,145232_2,LTE_F1,3718,Y,,,8.491
,140154_2,LTE_F1,,141958_2,LTE_F1,5206,Y,,,9.825
,140154_2,LTE_F1,,140798_2,LTE_F1,3918,Y,,,1.125
,140154_2,LTE_F1,,141022_2,LTE_F1,6555,Y,,,0.989
,140154_3,LTE_F1,,146175_2,LTE_F1,3786,Y,,,5.101
,140154_3,LTE_F1,,145232_3,LTE_F1,5782,Y,,,3.549
,140154_1,LTE_F1,,146175_2,LTE_F1,9777,Y,,,8.653
,140154_3,LTE_F1,,144555_1,LTE_F1,4626,Y,,,2.584
,140154_1,LTE_F1,,140154_2,LTE_F1,4497,Y,,,6.07
,140154_2,LTE_F1,,140154_1,LTE_F1,2655,Y,,,7.253
,140154_3,LTE_F1,,140748_3,LTE_F1,5049,Y,,,8.07
,140154_3,LTE_F1,,140798_2,LTE_F1,7704,Y,,,2.206
,140154_2,LTE_F1,,145435_2,LTE_F1,1918,Y,,,5.95
,140154_2,LTE_F1,,145274_2,LTE_F1,8697,Y,,,1.136
,140154_2,LTE_F1,,144713_2,LTE_F1,5713,Y,,,1.673
,140154_1,LTE_F1,,140748_2,LTE_F1,9067,Y,,,3.213
,140154_3,LTE_F1,,144555_3,LTE_F1,512,Y,,,5.156
,140154_3,LTE_F1,,140678_2,LTE_F1,4363,Y,,,4.772
,140154_2,LTE_F1,,140670_2,LTE_F1,1865,Y,,,1.594
,140154_2,LTE_F1,,144555_1,LTE_F1,6458,Y,,,2.324
,140154_3,LTE_F1,,149333_2,LTE_F1,9740,Y,,,1.055
,140154_3,LTE_F1,,141022_2,LTE_F1,685,Y,,,5.329
,140154_3,LTE_F1,,146175_3,LTE_F1,5639,Y,,,1.216
,140154_1,LTE_F1,,140754_3,LTE_F1,9416,Y,,,2.012
,140154_3,LTE_F1,,140670_2,LTE_F1,8769,Y,,,0.244
,140154_3,LTE_F1,,140658_3,LTE_F1,9542,Y,,,8.528
,140154_1,LTE_F1,,140678_2,LTE_F1,213,Y,,,8.698
,140154_2,LTE_F1,,140658_3,LTE_F1,7034,Y,,,9.362
,140154_3,LTE_F1,,146155_3,LTE_F1,592,Y,,,5.175
,140154_2,LTE_F1,,140719_1,LTE_F1,3204,Y,,,8.625
,140154_1,LTE_F1,,140681_2,LTE_F1,1840,Y,,,3.525
,140154_3,LTE_F1,,141958_2,LTE_F1,7205,Y,,,3.014
,140154_3,LTE_F1,,145789_2,LTE_F1,7916,Y,,,2.622
,140154_3,LTE_F1,,141875_3,LTE_F1,2913,Y,,,7.537
,140154_2,LTE_F1,,141022_3,LTE_F1,4651,Y,,,6.876
,140154_2,LTE_F1,,140678_2,LTE_F1,4464,Y,,,8.373
,140154_1,LTE_F1,,140803_2,LTE_F1,8043,Y,,,9.851
,140154_3,LTE_F1,,144582_3,LTE_F1,294,Y,,,8.804
,140154_2,LTE_F1,,140145_2,LTE_F1,9639,Y,,,5.242
,140154_1,LTE_F1,,145232_1,LTE_F1,1372,Y,,,0.357
,140154_2,LTE_F1,,141036_2,LTE_F1,6341,Y,,,4.803
,140154_2,LTE_F1,,141036_3,LTE_F1,2125,Y,,,4.745
,140154_2,LTE_F1,,144684_2,LTE_F1,708,Y,,,8.397
,140154_3,LTE_F1,,141036_2,LTE_F1,7408,Y,,,1.06
,140154_1,LTE_F1,,140748_3,LTE_F1,4234,Y,,,9.53
,140154_3,LTE_F1,,144713_2,LTE_F1,4563,Y,,,6.637
,140154_1,LTE_F1,,145232_3,LTE_F1,1447,Y,,,5.019
,140154_1,LTE_F1,,145790_2,LTE_F1,4025,Y,,,9.529
,140154_3,LTE_F1,,140681_3,LTE_F1,2262,Y,,,5.769
,140154_3,LTE_F1,,141499_3,LTE_F1,2343,Y,,,8.691
,140154_3,LTE_F1,,140645_3,LTE_F1,6941,Y,,,3.713
,140154_3,LTE_F1,,149272_2,LTE_F1,9292,Y,,,2.447
,140154_3,LTE_F1,,141036_3,LTE_F1,4750,Y,,,7.71
,140154_3,LTE_F1,,140732_2,LTE_F1,9122,Y,,,1.986
,140154_3,LTE_F1,,146179_2,LTE_F1,440,Y,,,6.975
,140154_2,LTE_F1,,141036_1,LTE_F1,3751,Y,,,4.083
,140154_3,LTE_F1,,140947_3,LTE_F1,3114,Y,,,7.699
,140154_3,LTE_F1,,140701_3,LTE_F1,2443,Y,,,4.467
,140154_2,LTE_F1,,140744_3,LTE_F1,6524,Y,,,5.425
,140154_1,LTE_F1,,147608_3,LTE_F1,547,Y,,,5.804
,140154_3,LTE_F1,,144604_3,LTE_F1,1698,Y,,,1.298
,140154_3,LTE_F1,,145790_3,LTE_F1,1801,Y,,,1.831
,140154_1,LTE_F1,,140803_1,LTE_F1,7860,Y,,,5.03
,140154_1,LTE_F1,,144555_1,LTE_F1,2171,Y,,,6.846
,140154_3,LTE_F1,,145790_2,LTE_F1,2286,Y,,,3.858
,140154_3,LTE_F1,,140664_3,LTE_F1,3433,Y,,,2.914
,140154_3,LTE_F1,,140744_3,LTE_F1,4892,Y,,,2.495
,140154_1,LTE_F1,,141958_2,LTE_F1,273,Y,,,8.78
,140154_2,LTE_F1,,140754_3,LTE_F1,1761,Y,,,3.928
,140154_3,LTE_F1,,140712_2,LTE_F1,988,Y,,,9.67
,140154_2,LTE_F1,,140748_2,LTE_F1,6885,Y,,,6.683
,140154_3,LTE_F1,,140145_2,LTE_F1,9518,Y,,,1.457
,140154_3,LTE_F1,,141499_2,LTE_F1,3982,Y,,,7.657
,140154_2,LTE_F1,,146155_3,LTE_F1,8572,Y,,,6.562
,140154_3,LTE_F1,,148694_3,LTE_F1,5955,Y,,,7.947
,140154_2,LTE_F1,,149333_2,LTE_F1,7138,Y,,,4.979
,140154_3,LTE_F1,,140803_3,LTE_F1,1978,Y,,,1.161
,140154_2,LTE_F1,,140717_3,LTE_F1,5493,Y,,,4.111
,140154_1,LTE_F1,,140798_2,LTE_F1,4474,Y,,,1.578
,140154_2,LTE_F1,,140717_2,LTE_F1,1710,Y,,,4.574
,140154_3,LTE_F1,,140717_3,LTE_F1,3466,Y,,,7.996
,140154_2,LTE_F1,,140702_2,LTE_F1,7108,Y,,,4.771
,140154_3,LTE_F1,,140700_3,LTE_F1,6604,Y,,,4.016
,140154_2,LTE_F1,,140700_1,LTE_F1,6328,Y,,,1.812
,140154_2,LTE_F1,,140700_2,LTE_F1,6003,Y,,,5.783
,140154_2,LTE_F1,,140700_3,LTE_F1,178,Y,,,5.333
,140154_3,LTE_F1,,140700_2,LTE_F1,8601,Y,,,6.908
,140154_3,LTE_F1,,140948_3,LTE_F1,5735,Y,,,9.942
,140154_1,LTE_F1,,144684_2,LTE_F1,7356,Y,,,2.64
,140154_1,LTE_F1,,144469_2,LTE_F1,1824,Y,,,1.929
,140154_3,LTE_F1,,140698_3,LTE_F1,2489,Y,,,8.72
,140154_3,LTE_F1,,141022_3,LTE_F1,3064,Y,,,3.619
,140154_3,LTE_F1,,140750_2,LTE_F1,3335,Y,,,9.987
,140154_3,LTE_F1,,140671_2,LTE_F1,7371,Y,,,0.027
,140154_1,LTE_F1,,140754_2,LTE_F1,4610,Y,,,4.804
,140154_1,LTE_F1,,140145_2,LTE_F1,9122,Y,,,1.325
,140154_1,LTE_F1,,140754_1,LTE_F1,9218,Y,,,2.035
,140154_2,LTE_F1,,140750_2,LTE_F1,5858,Y,,,4.127
,140154_2,LTE_F1,,146175_3,LTE_F1,341,Y,,,6.239
,140154_2,LTE_F1,,140662_1,LTE_F1,5861,Y,,,6.703
,140154_3,LTE_F1,,140662_3,LTE_F1,6862,Y,,,2.245
,140154_3,LTE_F1,,140662_2,LTE_F1,7500,Y,,,1.068
,140154_1,LTE_F1,,140662_1,LTE_F1,3421,Y,,,0.9
,140154_3,LTE_F1,,140662_1,LTE_F1,1648,Y,,,7.37
,140154_3,LTE_F1,,141036_1,LTE_F1,6575,Y,,,1.905
,140154_2,LTE_F1,,140810_2,LTE_F1,1425,Y,,,4.417
,140154_2,LTE_F1,,144555_3,LTE_F1,6521,Y,,,8.953
,140154_2,LTE_F1,,145696_3,LTE_F1,6380,Y,,,8.147
,140154_2,LTE_F1,,145696_1,LTE_F1,5214,Y,,,0.436
,140154_2,LTE_F1,,144092_3,LTE_F1,6500,Y,,,8.304
,140154_2,LTE_F1,,140718_2,LTE_F1,8028,Y,,,4.022
,140154_2,LTE_F1,,145696_2,LTE_F1,1127,Y,,,9.432
,140154_2,LTE_F1,,149334_2,LTE_F1,8365,Y,,,7.438
,140154_2,LTE_F1,,140662_2,LTE_F1,2307,Y,,,9.214
,140154_1,LTE_F1,,140738_1,LTE_F1,8255,Y,,,1.395
,140154_2,LTE_F1,,140648_2,LTE_F1,8824,Y,,,1.549
,140154_2,LTE_F1,,142989_1,LTE_F1,1047,Y,,,7.403
,140154_2,LTE_F1,,145232_3,LTE_F1,6974,Y,,,3.999
,140154_2,LTE_F1,,142989_2,LTE_F1,803,Y,,,0.199
,140154_2,LTE_F1,,149337_2,LTE_F1,8659,Y,,,6.175
,140154_2,LTE_F1,,149336_2,LTE_F1,579,Y,,,4.218
,140154_2,LTE_F1,,144710_1,LTE_F1,3739,Y,,,5.294
,140154_2,LTE_F1,,145285_2,LTE_F1,3303,Y,,,3.894
,140154_2,LTE_F1,,145285_1,LTE_F1,3419,Y,,,4.465
,140154_2,LTE_F1,,145285_3,LTE_F1,7480,Y,,,0.757
,140166_1,LTE_F1,,140166_3,LTE_F1,3076,Y,,,6.246
,140166_1,LTE_F1,,140166_2,LTE_F1,6808,Y,,,6.256
,140166_2,LTE_F1,,146163_2,LTE_F1,4646,Y,,,7.213
,140166_1,LTE_F1,,144563_3,LTE_F1,7625,Y,,,2.368
,140166_1,LTE_F1,,144563_1,LTE_F1,8722,Y,,,7.852
,140166_3,LTE_F1,,146168_3,LTE_F1,3584,Y,,,0.843
,140166_2,LTE_F1,,146523_1,LTE_F1,2183,Y,,,1.044
,140166_3,LTE_F1,,140720_1,LTE_F1,5234,Y,,,3.157
,140166_3,LTE_F1,,140750_2,LTE_F1,8309,Y,,,6.206
,140166_1,LTE_F1,,144605_1,LTE_F1,4082,Y,,,7.353
,140166_2,LTE_F1,,146172_2,LTE_F1,9670,Y,,,6.476
,140166_2,LTE_F1,,144605_3,LTE_F1,7223,Y,,,2.302
,140166_2,LTE_F1,,142992_3,LTE_F1,9141,Y,,,6.773
,140166_3,LTE_F1,,146172_3,LTE_F1,6180,Y,,,1.46
,140166_1,LTE_F1,,140652_3,LTE_F1,4598,Y,,,8.46
,140166_3,LTE_F1,,144563_3,LTE_F1,1671,Y,,,7.552
,140166_2,LTE_F1,,140166_3,LTE_F1,1749,Y,,,8.578
,140166_2,LTE_F1,,140166_1,LTE_F1,5997,Y,,,6.726
,140166_2,LTE_F1,,144605_1,LTE_F1,8199,Y,,,1.977
,140166_2,LTE_F1,,144563_3,LTE_F1,1071,Y,,,2.812
,140166_2,LTE_F1,,140710_1,LTE_F1,5462,Y,,,3.105
,140166_2,LTE_F1,,140710_3,LTE_F1,2433,Y,,,1.935
,140166_2,LTE_F1,,146172_3,LTE_F1,8661,Y,,,2.921
,140166_2,LTE_F1,,144563_2,LTE_F1,6341,Y,,,2.533
,140166_2,LTE_F1,,140948_3,LTE_F1,3656,Y,,,2.369
,140166_2,LTE_F1,,140722_3,LTE_F1,5860,Y,,,4.392
,140166_3,LTE_F1,,140723_1,LTE_F1,5200,Y,,,8.138
,140166_1,LTE_F1,,146168_3,LTE_F1,4,Y,,,8.474
,140166_2,LTE_F1,,144472_2,LTE_F1,8664,Y,,,8.075
,140166_1,LTE_F1,,144601_3,LTE_F1,6750,Y,,,0.869
,140166_3,LTE_F1,,140723_2,LTE_F1,8508,Y,,,0.621
,140166_1,LTE_F1,,146168_1,LTE_F1,1096,Y,,,0.026
,140166_2,LTE_F1,,140715_2,LTE_F1,6711,Y,,,4.93
,140166_1,LTE_F1,,140723_1,LTE_F1,6559,Y,,,6.847
,140166_1,LTE_F1,,140723_2,LTE_F1,6209,Y,,,9.363
,140166_3,LTE_F1,,140166_2,LTE_F1,590,Y,,,5.965
,140166_3,LTE_F1,,140166_1,LTE_F1,8010,Y,,,5.507
,140166_3,LTE_F1,,144605_1,LTE_F1,1222,Y,,,4.58
,140166_1,LTE_F1,,145283_3,LTE_F1,9477,Y,,,4
,140166_3,LTE_F1,,140733_1,LTE_F1,3871,Y,,,1.143
,140166_2,LTE_F1,,144609_2,LTE_F1,2877,Y,,,9.419
,140166_3,LTE_F1,,144605_3,LTE_F1,8645,Y,,,9.361
,140166_1,LTE_F1,,140733_1,LTE_F1,6521,Y,,,4.953
,140166_2,LTE_F1,,144472_3,LTE_F1,6606,Y,,,7.191
,140166_3,LTE_F1,,145283_3,LTE_F1,3041,Y,,,5.115
,140166_2,LTE_F1,,140750_2,LTE_F1,2626,Y,,,2.143
,140166_3,LTE_F1,,146163_2,LTE_F1,7782,Y,,,4.146
,140166_2,LTE_F1,,140715_3,LTE_F1,9355,Y,,,7.19
,140166_2,LTE_F1,,144470_1,LTE_F1,3809,Y,,,3.981
,140166_2,LTE_F1,,140229_1,LTE_F1,3314,Y,,,2.785
,140166_2,LTE_F1,,144228_3,LTE_F1,1772,Y,,,1.507
,140166_1,LTE_F1,,146172_2,LTE_F1,4087,Y,,,3.512
,140166_1,LTE_F1,,144605_3,LTE_F1,1680,Y,,,8.261
,140166_3,LTE_F1,,146168_2,LTE_F1,2562,Y,,,4.437
,140166_2,LTE_F1,,140723_2,LTE_F1,8558,Y,,,6.53
,140166_1,LTE_F1,,144472_3,LTE_F1,2508,Y,,,8.287
,140166_1,LTE_F1,,144605_2,LTE_F1,5483,Y,,,6.218
,140166_1,LTE_F1,,144563_2,LTE_F1,6622,Y,,,1.297
,140166_1,LTE_F1,,144228_3,LTE_F1,3251,Y,,,9.241
,140166_2,LTE_F1,,140641_3,LTE_F1,4696,Y,,,4.651
,140166_3,LTE_F1,,144605_2,LTE_F1,8489,Y,,,5.543
,140166_2,LTE_F1,,145283_3,LTE_F1,1328,Y,,,2.559
,140166_1,LTE_F1,,140710_1,LTE_F1,8128,Y,,,9.927
,140166_2,LTE_F1,,146168_2,LTE_F1,1619,Y,,,4.831
,140166_2,LTE_F1,,140733_1,LTE_F1,7411,Y,,,0.756
,140166_2,LTE_F1,,144605_2,LTE_F1,5385,Y,,,2.049
