"remember, tems doesn't export lat-lon correctly when you export to .tab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"remember, col names need to be correct, but order is not important",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Mobile,TIME,LONGITUDE,LATITUDE,SC_1,RSCP_1,EcIo_1,SC_2,RSCP_2,EcIo_2,SC_3,RSCP_3,EcIo_3,SC_4,RSCP_4,EcIo_4,SC_5,RSCP_5,EcIo_5,SC_6,RSCP_6,EcIo_6,SC_7,RSCP_7,EcIo_7,SC_8,RSCP_8,EcIo_8,SC_9,RSCP_9,EcIo_9,SC_10,RSCP_10,EcIo_10,SC_11,RSCP_11,EcIo_11,SC_12,RSCP_12,EcIo_12,SC_13,RSCP_13,EcIo_13,SC_14,RSCP_14,EcIo_14,SC_15,RSCP_15,EcIo_15,SC_16,RSCP_16,EcIo_16,SC_17,RSCP_17,EcIo_17,SC_18,RSCP_18,EcIo_18,SC_19,RSCP_19,EcIo_19,SC_20,RSCP_20,EcIo_20
,,2975,144.9362714,-37.82251238,206,-61.187,-1.187,366,-70.458,-10.458,126,-78.814,-18.814,296,-79.344,-19.344,280,-79.408,-19.408,450,-79.553,-19.553,384,-79.608,-19.608,78,-79.644,-19.644,36,-79.659,-19.659,476,-79.679,-19.679,304,-79.855,-19.855,118,-79.933,-19.933,138,-79.97,-19.97,110,-79.976,-19.976,218,-80.002,-20.002,402,-80.05,-20.05,496,-80.05,-20.05,374,-80.055,-20.055,266,-80.157,-20.157,252,-80.168,-20.168
,,5076,144.8378098,-37.80160855,88,-71.627,-2.627,382,-77.772,-8.772,96,-80.349,-11.349,150,-84.929,-15.929,318,-85.601,-16.601,434,-87.156,-18.156,316,-88.512,-19.512,56,-88.553,-19.553,346,-88.654,-19.654,258,-88.891,-19.891,366,-88.928,-19.928,94,-89.071,-20.071,444,-89.093,-20.093,454,-89.12,-20.12,438,-89.195,-20.195,500,-89.222,-20.222,208,-89.271,-20.271,390,-89.321,-20.321,48,-89.393,-20.393,106,-89.409,-20.409
,,6020,144.9621056,-37.78520387,96,-56.912,-1.912,80,-62.267,-7.267,124,-72.965,-17.965,396,-73.856,-18.856,140,-74.188,-19.188,134,-74.413,-19.413,34,-74.492,-19.492,510,-74.588,-19.588,102,-74.824,-19.824,116,-74.824,-19.824,358,-74.891,-19.891,226,-74.928,-19.928,406,-75.023,-20.023,418,-75.045,-20.045,374,-75.195,-20.195,464,-75.201,-20.201,242,-75.228,-20.228,336,-75.282,-20.282,216,-75.376,-20.376,474,-75.381,-20.381
,,5178,144.9659756,-37.78453389,150,-47.873,-0.873,96,-59.103,-12.103,166,-61.243,-14.243,300,-65.346,-18.346,152,-66.173,-19.173,434,-66.334,-19.334,432,-66.403,-19.403,52,-66.533,-19.532,380,-66.553,-19.553,416,-66.608,-19.608,88,-66.685,-19.685,234,-66.865,-19.865,78,-66.886,-19.886,4,-66.96,-19.96,474,-66.965,-19.965,268,-66.992,-19.992,94,-67.157,-20.157,282,-67.157,-20.157,308,-67.157,-20.157,252,-67.206,-20.206
,,1956,144.9020505,-37.80535621,206,-73.609,-2.609,366,-77.859,-6.859,294,-84.138,-13.138,382,-88.237,-17.237,96,-90.736,-19.736,450,-91.045,-20.045,304,-91.055,-20.055,116,-91.168,-20.168,100,-91.195,-20.195,232,-91.277,-20.277,60,-91.315,-20.315,40,-91.348,-20.348,396,-91.393,-20.393,504,-91.409,-20.409,200,-91.443,-20.443,188,-91.527,-20.527,374,-91.572,-20.572,416,-91.606,-20.606,236,-91.652,-20.652,370,-91.652,-20.652
,,707,144.8381103,-37.81114214,366,-77.847,-2.847,374,-84.581,-9.581,294,-85.951,-10.951,310,-87.124,-12.124,228,-94.3,-19.3,382,-94.891,-19.891,172,-94.97,-19.97,360,-95.093,-20.093,254,-95.12,-20.12,350,-95.12,-20.12,258,-95.173,-20.173,26,-95.222,-20.222,372,-95.239,-20.239,312,-95.271,-20.271,434,-95.359,-20.359,34,-95.409,-20.409,110,-95.459,-20.459,176,-95.515,-20.515,392,-95.515,-20.515,226,-95.527,-20.527
,,977,144.9501396,-37.78809609,318,-69.684,-2.684,450,-76.069,-9.069,326,-76.746,-9.746,374,-84.145,-17.145,362,-86.304,-19.304,452,-86.339,-19.339,388,-86.944,-19.944,300,-87.066,-20.066,424,-87.114,-20.114,342,-87.354,-20.354,34,-87.381,-20.381,58,-87.387,-20.387,322,-87.448,-20.448,114,-87.482,-20.482,232,-87.493,-20.493,142,-87.504,-20.504,434,-87.538,-20.538,94,-87.566,-20.566,268,-87.623,-20.623,378,-87.657,-20.657
,,2900,144.8784584,-37.76850152,166,-67.923,-3.923,316,-71.045,-7.045,158,-75.182,-11.182,392,-75.927,-11.927,150,-81.745,-17.745,400,-83.304,-19.304,376,-83.423,-19.423,136,-83.603,-19.603,472,-83.751,-19.751,214,-83.787,-19.787,138,-84.12,-20.12,70,-84.19,-20.19,378,-84.222,-20.222,446,-84.282,-20.282,148,-84.304,-20.304,42,-84.359,-20.359,388,-84.398,-20.398,430,-84.415,-20.415,110,-84.476,-20.476,254,-84.499,-20.499
,,5498,144.9547073,-37.80450913,88,-57.211,-1.211,96,-69.767,-13.767,80,-74.47,-18.47,346,-74.483,-18.483,150,-75.256,-19.256,134,-75.295,-19.295,510,-75.304,-19.304,48,-75.388,-19.388,258,-75.487,-19.487,248,-75.613,-19.613,444,-75.808,-19.808,50,-75.829,-19.829,58,-75.839,-19.839,176,-75.86,-19.86,202,-75.912,-19.912,280,-76.034,-20.034,486,-76.039,-20.039,374,-76.061,-20.061,252,-76.093,-20.093,344,-76.157,-20.157
,,3424,144.9671276,-37.78063221,450,-55.749,-2.749,434,-58.561,-5.561,150,-71.847,-18.847,138,-72.183,-19.183,476,-72.378,-19.378,170,-72.492,-19.492,306,-72.497,-19.497,458,-72.563,-19.563,308,-72.644,-19.644,462,-72.731,-19.731,200,-72.741,-19.741,376,-72.881,-19.881,208,-73.05,-20.05,190,-73.066,-20.066,134,-73.141,-20.141,392,-73.179,-20.179,116,-73.222,-20.222,492,-73.244,-20.244,438,-73.293,-20.293,122,-73.332,-20.332
,,1633,144.9357531,-37.8001924,400,-52.232,-1.232,388,-59.914,-8.914,202,-69.519,-18.519,448,-70.275,-19.275,344,-70.339,-19.339,286,-70.507,-19.507,134,-70.583,-19.583,284,-70.583,-19.583,78,-70.618,-19.618,502,-70.639,-19.639,146,-70.695,-19.695,314,-70.71,-19.71,74,-70.767,-19.767,254,-70.855,-19.855,376,-70.928,-19.928,120,-70.955,-19.955,386,-71.013,-20.013,334,-71.023,-20.023,390,-71.045,-20.045,26,-71.061,-20.061
,,2691,144.9464993,-37.78480051,206,-76.508,-1.508,172,-89.68,-14.68,188,-91.739,-16.739,236,-92.176,-17.176,504,-94.533,-19.532,234,-94.608,-19.608,492,-94.628,-19.628,510,-94.746,-19.746,24,-94.751,-19.751,98,-94.813,-19.813,286,-94.844,-19.844,332,-94.876,-19.876,422,-94.881,-19.881,316,-94.992,-19.992,496,-95.029,-20.029,258,-95.055,-20.055,366,-95.103,-20.103,202,-95.114,-20.114,360,-95.125,-20.125,138,-95.168,-20.168
,,4509,144.9380885,-37.78732742,150,-76.707,-3.707,434,-82.235,-9.235,158,-83.846,-10.846,88,-87.631,-14.631,442,-90.16,-17.16,166,-91.25,-18.25,316,-92.304,-19.304,94,-92.583,-19.583,90,-92.608,-19.608,238,-92.762,-19.762,328,-92.762,-19.762,474,-93.061,-20.061,192,-93.071,-20.071,178,-93.087,-20.087,38,-93.093,-20.093,276,-93.211,-20.211,56,-93.239,-20.239,342,-93.255,-20.255,96,-93.304,-20.304,410,-93.476,-20.476
,,2022,144.8639827,-37.80951762,316,-66.592,-3.592,332,-69.843,-6.843,324,-76.535,-13.535,392,-82.193,-19.193,326,-82.659,-19.659,270,-82.793,-19.793,244,-82.881,-19.881,404,-82.907,-19.907,246,-82.939,-19.939,308,-83.002,-20.002,190,-83.061,-20.061,452,-83.157,-20.157,184,-83.25,-20.25,260,-83.25,-20.25,150,-83.26,-20.26,200,-83.26,-20.26,388,-83.271,-20.271,86,-83.299,-20.299,234,-83.365,-20.365,504,-83.393,-20.393
,,5936,144.9768546,-37.76330701,80,-68.088,-3.088,96,-72.035,-7.035,86,-77.929,-12.929,438,-83.842,-18.842,446,-84.522,-19.522,40,-84.679,-19.679,74,-84.839,-19.839,124,-84.928,-19.928,198,-84.97,-19.97,418,-85.061,-20.061,426,-85.087,-20.087,108,-85.163,-20.163,192,-85.163,-20.163,144,-85.201,-20.201,154,-85.255,-20.255,346,-85.288,-20.288,312,-85.31,-20.31,72,-85.321,-20.321,454,-85.354,-20.354,94,-85.381,-20.381
,,2521,144.9298866,-37.78995474,442,-68.183,-2.183,374,-73.225,-7.225,382,-80.848,-14.848,434,-81.919,-15.919,128,-84.912,-18.912,386,-85.433,-19.433,34,-85.507,-19.507,398,-85.746,-19.746,182,-85.787,-19.787,66,-85.818,-19.818,240,-86.066,-20.066,342,-86.066,-20.066,500,-86.077,-20.077,98,-86.087,-20.087,508,-86.103,-20.103,188,-86.152,-20.152,264,-86.179,-20.179,100,-86.222,-20.222,160,-86.222,-20.222,164,-86.266,-20.266
,,4816,144.9788315,-37.7613083,150,-62.78,-1.78,96,-74.509,-13.509,166,-74.85,-13.85,88,-75.467,-14.467,462,-79.879,-18.879,158,-80.001,-19.001,332,-80.344,-19.344,434,-80.543,-19.543,252,-80.623,-19.623,134,-80.674,-19.674,238,-80.949,-19.949,268,-81.087,-20.087,132,-81.168,-20.168,280,-81.168,-20.168,286,-81.206,-20.206,52,-81.233,-20.233,212,-81.233,-20.233,296,-81.233,-20.233,66,-81.244,-20.244,184,-81.25,-20.25
,,3321,144.9661326,-37.78521926,450,-57.802,-2.802,434,-61.792,-6.792,138,-73.709,-18.709,296,-73.75,-18.75,158,-74.373,-19.373,150,-74.482,-19.482,422,-74.603,-19.603,462,-74.897,-19.897,474,-74.97,-19.97,452,-75.013,-20.013,8,-75.034,-20.034,476,-75.055,-20.055,502,-75.055,-20.055,288,-75.211,-20.211,24,-75.233,-20.233,270,-75.31,-20.31,114,-75.321,-20.321,460,-75.409,-20.409,478,-75.454,-20.454,306,-75.459,-20.459
,,462,144.8396867,-37.82338204,326,-60.486,-3.486,334,-68.13,-11.13,318,-69.75,-12.75,378,-70.045,-13.045,256,-74.77,-17.77,324,-75.294,-18.294,258,-75.595,-18.595,332,-75.856,-18.856,362,-75.983,-18.983,460,-76.28,-19.28,400,-76.679,-19.679,480,-76.736,-19.736,6,-76.834,-19.834,46,-76.886,-19.886,138,-77.163,-20.163,170,-77.163,-20.163,286,-77.173,-20.173,448,-77.179,-20.179,494,-77.184,-20.184,248,-77.233,-20.233
,,1452,144.896117,-37.82542928,366,-54.371,-1.371,382,-70.428,-17.428,226,-71.434,-18.434,456,-72.772,-19.772,278,-72.798,-19.798,444,-72.844,-19.844,174,-72.923,-19.923,12,-72.965,-19.965,30,-73.023,-20.023,462,-73.098,-20.098,484,-73.271,-20.271,256,-73.277,-20.277,426,-73.282,-20.282,172,-73.332,-20.332,84,-73.343,-20.343,420,-73.359,-20.359,94,-73.415,-20.415,236,-73.426,-20.426,430,-73.437,-20.437,400,-73.454,-20.454
,,4802,144.8692976,-37.81148029,88,-77.556,-4.556,382,-78.924,-5.924,96,-84.166,-11.166,434,-87.281,-14.281,442,-91.483,-18.483,150,-92.522,-19.522,252,-92.886,-19.886,486,-92.891,-19.891,160,-92.897,-19.897,374,-92.923,-19.923,94,-92.986,-19.986,174,-92.992,-19.992,74,-93.082,-20.082,180,-93.103,-20.103,192,-93.109,-20.109,356,-93.141,-20.141,44,-93.206,-20.206,268,-93.255,-20.255,202,-93.266,-20.266,240,-93.293,-20.293
,,4539,144.9735315,-37.77173189,166,-59.362,-2.362,158,-66.337,-9.337,150,-66.413,-9.414,388,-76.183,-19.183,266,-76.438,-19.438,428,-76.588,-19.588,182,-76.598,-19.598,498,-76.649,-19.649,458,-76.844,-19.844,342,-76.85,-19.85,258,-77.034,-20.034,170,-77.039,-20.039,404,-77.114,-20.114,284,-77.228,-20.228,272,-77.337,-20.337,434,-77.354,-20.354,408,-77.381,-20.381,480,-77.404,-20.404,94,-77.409,-20.409,110,-77.415,-20.415
,,1595,144.8660784,-37.82893267,294,-86.521,-7.521,172,-87.566,-8.566,238,-89.402,-10.402,188,-89.586,-10.586,180,-91.202,-12.202,156,-92.608,-13.608,206,-95.385,-16.385,366,-96.915,-17.915,230,-98.538,-19.538,166,-98.603,-19.603,252,-98.654,-19.654,248,-98.659,-19.659,310,-98.726,-19.726,240,-98.886,-19.886,108,-98.976,-19.976,154,-98.986,-19.986,196,-99.087,-20.087,504,-99.206,-20.206,126,-99.211,-20.211,500,-99.228,-20.228
,,1190,144.8510051,-37.81173521,366,-52.113,-1.113,382,-65.361,-14.361,340,-69.058,-18.058,294,-70.144,-19.144,424,-70.275,-19.275,130,-70.482,-19.482,290,-70.644,-19.644,258,-70.818,-19.818,500,-70.824,-19.824,470,-70.933,-19.933,412,-70.976,-19.976,190,-71.136,-20.136,160,-71.152,-20.152,22,-71.157,-20.157,300,-71.201,-20.201,342,-71.201,-20.201,224,-71.206,-20.206,308,-71.206,-20.206,52,-71.25,-20.25,60,-71.25,-20.25
,,3265,144.8785309,-37.83140699,442,-61.066,-2.066,434,-67.512,-8.512,280,-78.588,-19.588,160,-78.793,-19.793,428,-78.829,-19.829,88,-78.955,-19.955,42,-79.039,-20.039,32,-79.05,-20.05,372,-79.077,-20.077,38,-79.217,-20.217,494,-79.217,-20.217,128,-79.271,-20.271,66,-79.282,-20.282,470,-79.293,-20.293,202,-79.332,-20.332,462,-79.37,-20.37,144,-79.376,-20.376,272,-79.387,-20.387,476,-79.387,-20.387,44,-79.415,-20.415
,,2953,144.9178187,-37.78644174,450,-63.848,-2.848,434,-69.994,-8.994,150,-71.351,-10.351,158,-74.759,-13.759,458,-80.358,-19.358,228,-80.413,-19.413,318,-80.7,-19.7,196,-80.844,-19.844,306,-80.871,-19.871,18,-80.876,-19.876,478,-81.018,-20.018,488,-81.018,-20.018,252,-81.077,-20.077,226,-81.13,-20.13,304,-81.201,-20.201,492,-81.239,-20.239,24,-81.255,-20.255,432,-81.271,-20.271,486,-81.299,-20.299,476,-81.31,-20.31
,,2638,144.9104972,-37.82412718,316,-59.769,-1.769,332,-67.599,-9.599,324,-69.942,-11.942,392,-76.13,-18.13,406,-77.452,-19.452,486,-77.487,-19.487,48,-77.881,-19.881,166,-77.939,-19.939,174,-77.97,-19.97,70,-78.023,-20.023,168,-78.206,-20.206,260,-78.239,-20.239,12,-78.277,-20.277,270,-78.348,-20.348,244,-78.443,-20.443,364,-78.454,-20.454,2,-78.538,-20.538,154,-78.538,-20.538,352,-78.544,-20.544,388,-78.6,-20.6
,,416,144.9044801,-37.82784726,326,-54.006,-2.006,318,-60.746,-8.746,334,-68.459,-16.459,66,-71.553,-19.553,306,-71.644,-19.644,500,-71.644,-19.644,228,-71.777,-19.777,378,-71.918,-19.918,462,-71.97,-19.97,506,-71.997,-19.997,298,-72.045,-20.045,30,-72.061,-20.061,398,-72.066,-20.066,274,-72.071,-20.071,496,-72.136,-20.136,288,-72.217,-20.217,494,-72.239,-20.239,128,-72.332,-20.332,292,-72.376,-20.376,444,-72.387,-20.387
,,2256,144.9593125,-37.83297191,206,-79.253,-2.253,188,-84.747,-7.747,366,-89.864,-12.864,172,-95.045,-18.045,280,-95.768,-18.768,236,-96.016,-19.016,180,-96.207,-19.207,114,-96.368,-19.368,296,-96.527,-19.527,444,-96.654,-19.654,440,-96.664,-19.664,70,-96.855,-19.855,56,-96.86,-19.86,374,-96.96,-19.96,294,-97.05,-20.05,330,-97.12,-20.12,412,-97.13,-20.13,186,-97.163,-20.163,244,-97.19,-20.19,476,-97.217,-20.217
,,5920,144.9460363,-37.8167557,96,-60.737,-2.737,88,-68.164,-10.164,80,-69.274,-11.274,204,-77.96,-19.96,190,-78.055,-20.055,8,-78.077,-20.077,92,-78.12,-20.12,138,-78.125,-20.125,418,-78.163,-20.163,106,-78.173,-20.173,360,-78.179,-20.179,274,-78.211,-20.211,292,-78.211,-20.211,32,-78.233,-20.233,356,-78.304,-20.304,170,-78.393,-20.393,158,-78.42,-20.42,486,-78.426,-20.426,330,-78.437,-20.437,246,-78.443,-20.443
,,3220,144.9321876,-37.7590364,382,-54.452,-0.452,270,-72.329,-18.329,94,-73.236,-19.236,420,-73.448,-19.448,500,-73.477,-19.477,88,-73.512,-19.512,484,-73.613,-19.613,120,-73.736,-19.736,276,-73.756,-19.756,310,-73.787,-19.787,146,-73.85,-19.85,330,-73.912,-19.912,440,-73.97,-19.97,184,-74.255,-20.255,178,-74.271,-20.271,390,-74.365,-20.365,356,-74.381,-20.381,158,-74.398,-20.398,498,-74.415,-20.415,134,-74.426,-20.426
,,5541,144.8359328,-37.76092898,88,-59.68,-1.68,96,-71.777,-13.777,80,-75.303,-17.303,50,-76.954,-18.954,48,-77.334,-19.334,374,-77.522,-19.522,472,-77.741,-19.741,134,-77.762,-19.762,346,-77.813,-19.813,150,-77.865,-19.865,76,-78.013,-20.013,58,-78.077,-20.077,314,-78.109,-20.109,184,-78.228,-20.228,216,-78.266,-20.266,408,-78.277,-20.277,250,-78.288,-20.288,258,-78.299,-20.299,502,-78.321,-20.321,190,-78.37,-20.37
,,1262,144.8320438,-37.76012427,366,-52.467,-0.467,392,-70.049,-18.049,224,-70.151,-18.151,470,-70.368,-18.368,484,-70.439,-18.439,190,-70.591,-18.591,424,-70.842,-18.842,478,-71.082,-19.082,386,-71.125,-19.125,346,-71.168,-19.168,402,-71.193,-19.193,4,-71.654,-19.654,188,-71.736,-19.736,254,-71.736,-19.736,314,-71.741,-19.741,14,-71.767,-19.767,468,-71.965,-19.965,308,-71.981,-19.981,116,-72.141,-20.141,130,-72.184,-20.184
,,5295,144.8318564,-37.77282429,96,-79.138,-6.138,150,-84.457,-11.457,268,-88.729,-15.729,166,-89.739,-16.739,252,-92.02,-19.02,158,-92.7,-19.7,396,-92.777,-19.777,508,-92.886,-19.886,462,-92.955,-19.955,24,-92.976,-19.976,212,-92.986,-19.986,188,-93.055,-20.055,10,-93.087,-20.087,326,-93.12,-20.12,110,-93.136,-20.136,328,-93.201,-20.201,286,-93.233,-20.233,160,-93.25,-20.25,82,-93.26,-20.26,32,-93.343,-20.343
,,3287,144.9459561,-37.78335166,382,-71.765,-1.765,366,-84.347,-14.347,442,-86.533,-16.533,358,-88.861,-18.861,250,-89.314,-19.314,50,-89.876,-19.876,94,-89.965,-19.965,324,-89.981,-19.981,500,-90.018,-20.018,270,-90.034,-20.034,330,-90.071,-20.071,362,-90.098,-20.098,90,-90.141,-20.141,356,-90.152,-20.152,404,-90.195,-20.195,88,-90.211,-20.211,316,-90.304,-20.304,364,-90.387,-20.387,420,-90.42,-20.42,18,-90.448,-20.448
,,6054,144.9310179,-37.82918348,96,-60.06,-4.06,80,-64.528,-8.528,40,-71.823,-15.823,394,-75.803,-19.803,428,-75.944,-19.944,114,-75.997,-19.997,484,-76.013,-20.013,48,-76.082,-20.082,264,-76.082,-20.082,14,-76.13,-20.13,88,-76.163,-20.163,140,-76.173,-20.173,358,-76.239,-20.239,4,-76.359,-20.359,110,-76.387,-20.387,90,-76.415,-20.415,134,-76.431,-20.431,68,-76.437,-20.437,370,-76.437,-20.437,98,-76.465,-20.465
